Symptom,Causes,Management,Precautions
Fever,"Viral infections, bacterial infections, inflammation, heat stroke","Take paracetamol, get plenty of rest, stay hydrated","Avoid cold exposure, regularly monitor temperature"
Cough,"Viral infections, throat irritation, allergies, asthma","Use cough syrup, steam inhalation, avoid cold drinks","Use mask in public, avoid irritants"
Headache,"Stress, migraines, dehydration, sinusitis, tension","Use pain relievers, hydration, rest in dark room","Reduce screen time, manage stress"
Sore throat,"Viral infections, colds, allergies, bacterial infections","Gargle with warm salt water, use lozenges","Avoid cold foods, stay hydrated"
Fatigue,"Lack of sleep, anemia, thyroid issues, chronic illness","Improve sleep quality, take iron supplements if needed, address underlying conditions","Maintain regular sleep schedule, nutritious diet"
Runny nose,"Colds, allergies, sinus infections","Use antihistamines or saline nasal sprays","Avoid allergens, keep warm"
Nasal congestion,"Colds, sinusitis, allergies","Use decongestants, steam inhalation","Avoid irritants, use humidifier"
Muscle aches,"Viral infections, overexertion, flu, injury","Rest, take pain relievers, gentle stretching","Warm up before exercise, avoid overexertion"
Joint pain,"Arthritis, injury, infection, gout","Use pain relievers, rest, anti-inflammatory medications","Gentle exercise, maintain healthy weight"
Vomiting,"Gastroenteritis, food poisoning, migraine, pregnancy","Oral rehydration, antiemetics, rest","Eat light meals, avoid contaminated food"
Diarrhea,"Infection, food intolerance, IBS","Oral rehydration, probiotics, bland diet","Hand hygiene, avoid unsafe food or water"
Abdominal pain,"Indigestion, infection, gastritis, appendicitis","Use antacids, rest, consult doctor if severe","Avoid spicy food, eat slowly"
Dizziness,"Low blood pressure, dehydration, anemia, vertigo","Sit or lie down, hydrate, treat underlying cause","Rise slowly, stay hydrated"
Shortness of breath,"Asthma, heart disease, infection, anxiety","Use inhaler, rest, seek medical attention","Avoid triggers, monitor symptoms"
Chest pain,"Heart disease, muscle strain, anxiety, infection","Rest, pain relievers, emergency care if severe","Manage stress, regular checkups"
Palpitations,"Anxiety, arrhythmia, caffeine, anemia","Avoid stimulants, practice relaxation, seek medical evaluation","Limit caffeine, manage stress"
Rash and itching,"Allergies, infections, eczema, drug reactions","Use antihistamines, topical creams","Maintain skin hygiene, avoid triggers"
Swelling,"Injury, allergy, infection, heart/kidney issues","Elevate limb, apply cold compress, address cause","Avoid allergens, monitor swelling"
Nausea,"Infection, pregnancy, motion sickness, medication","Use ginger, antiemetics, small frequent meals","Avoid strong odors, eat slowly"
Loss of appetite,"Infection, stress, digestive disorders","Small nutritious meals, treat underlying cause","Regular meal times, stress management"
Weight loss,"Hyperthyroidism, infection, cancer, diabetes","Nutritional support, treat underlying cause","Regular health checks, balanced diet"
Weight gain,"Hypothyroidism, overeating, medication, hormonal imbalance","Diet, exercise, address underlying cause","Portion control, regular activity"
Blurred vision,"Eye strain, diabetes, infection, migraine","Rest eyes, correct underlying issue","Regular eye exams, disease management"
Frequent urination,"Diabetes, UTI, diuretics, anxiety","Treat underlying cause, use antibiotics for UTI","Limit caffeine, maintain hygiene"
Burning urination,"UTI, infection, dehydration","Antibiotics, hydration","Wipe front to back, drink plenty of water"
Back pain,"Muscle strain, injury, disc problems, kidney infection","Rest, pain relievers, physical therapy","Proper posture, safe lifting techniques"
